doc_id,filename,ext,rel_path,date,chars,norm_title,dup_of,status,priority_themes
D0001,0816计算器股.docx,.docx,2020\0816计算器股.docx,,0,,,EXTRACT_ERR:BadZipFile,
D0002,08.防守反击系列1：埋伏箱体涨停.pdf,.pdf,2020\2020周六专栏\一、模式研究\低吸\08.防守反击系列1：埋伏箱体涨停.pdf,2020-08-29,11099,防守反击系列1：埋伏箱体涨停,,OK,强势股模式
D0003,34.如何狙击情绪逆转地天板.pdf,.pdf,2020\2020周六专栏\一、模式研究\低吸\34.如何狙击情绪逆转地天板.pdf,2020-12-12,5032,如何狙击情绪逆转地天板,,OK,情绪周期|强势股模式
D0004,87.大长腿空中加油后的一个低吸玩法.pdf,.pdf,2020\2020周六专栏\一、模式研究\低吸\87.大长腿空中加油后的一个低吸玩法.pdf,2021-08-21,4896,大长腿空中加油后的一个低吸玩法,,OK,强势股模式
D0005,07.如何把握市场错杀票的机会.pdf,.pdf,2020\2020周六专栏\一、模式研究\其他\07.如何把握市场错杀票的机会.pdf,2020-08-22,4427,如何把握市场错杀票的机会,,OK,
D0006,46.妖股形成过程中的极品补涨机会.pdf,.pdf,2020\2020周六专栏\一、模式研究\其他\46.妖股形成过程中的极品补涨机会.pdf,2021-01-23,3468,妖股形成过程中的极品补涨机会,,OK,
D0007,48.出现妖股后的空间板怎么玩.pdf,.pdf,2020\2020周六专栏\一、模式研究\其他\48.出现妖股后的空间板怎么玩.pdf,2021-01-30,3883,出现妖股后的空间板怎么玩,,OK,
D0008,49.什么样的“抗跌”才有意义.pdf,.pdf,2020\2020周六专栏\一、模式研究\其他\49.什么样的“抗跌”才有意义.pdf,2021-02-06,5200,什么样的“抗跌”才有意义,,OK,
D0009,58.两种常见的教科书式卖点.pdf,.pdf,2020\2020周六专栏\一、模式研究\其他\58.两种常见的教科书式卖点.pdf,2021-03-27,5307,两种常见的教科书式卖点,,OK,
D0010,59.出现超级龙头之后的接力思路.pdf,.pdf,2020\2020周六专栏\一、模式研究\其他\59.出现超级龙头之后的接力思路.pdf,2021-04-03,7620,出现超级龙头之后的接力思路,,OK,情绪周期|强势股模式
D0011,63.如何判断个股的涨幅上限？.pdf,.pdf,2020\2020周六专栏\一、模式研究\其他\63.如何判断个股的涨幅上限？.pdf,2021-04-24,7294,如何判断个股的涨幅上限？,,OK,
D0012,75.龙头特停后的交易性机会.pdf,.pdf,2020\2020周六专栏\一、模式研究\其他\75.龙头特停后的交易性机会.pdf,2021-06-26,6578,龙头特停后的交易性机会,,OK,强势股模式
D0013,79.预期情绪转折，该如何操作？.pdf,.pdf,2020\2020周六专栏\一、模式研究\其他\79.预期情绪转折，该如何操作？.pdf,2021-07-17,7030,预期情绪转折，该如何操作？,,OK,情绪周期
D0014,76.如何判断反核交易是否值得做？.pdf,.pdf,2020\2020周六专栏\一、模式研究\反核\76.如何判断反核交易是否值得做？.pdf,2021-07-03,4345,如何判断反核交易是否值得做？,,OK,
D0015,84.讲讲宋庄路的反核低吸.pdf,.pdf,2020\2020周六专栏\一、模式研究\反核\84.讲讲宋庄路的反核低吸.pdf,2021-08-07,5420,讲讲宋庄路的反核低吸,,OK,强势股模式
D0016,21.如何在集合竞价选到日内龙头债.pdf,.pdf,2020\2020周六专栏\一、模式研究\可转债\21.如何在集合竞价选到日内龙头债.pdf,2020-10-24,5733,如何在集合竞价选到日内龙头债,,OK,强势股模式
D0017,86.如何利用可转债参与主线板块.pdf,.pdf,2020\2020周六专栏\一、模式研究\可转债\86.如何利用可转债参与主线板块.pdf,2021-08-21,4396,如何利用可转债参与主线板块,,OK,
D0018,13.趋势转折系列1：避开上升转势大回撤.pdf,.pdf,2020\2020周六专栏\一、模式研究\指数相关\13.趋势转折系列1：避开上升转势大回撤.pdf,2020-09-12,5143,趋势转折系列1：避开上升转势大回撤,,OK,强势股模式|仓位风控
D0019,26.如何应对指数长阴次日的行情？.pdf,.pdf,2020\2020周六专栏\一、模式研究\指数相关\26.如何应对指数长阴次日的行情？.pdf,2020-11-07,4773,如何应对指数长阴次日的行情？,,OK,
D0020,28.指数单日长阳后的防守玩法.pdf,.pdf,2020\2020周六专栏\一、模式研究\指数相关\28.指数单日长阳后的防守玩法.pdf,2020-11-14,5033,指数单日长阳后的防守玩法,,OK,
D0021,52.如何格局波段之指数择时.pdf,.pdf,2020\2020周六专栏\一、模式研究\指数相关\52.如何格局波段之指数择时.pdf,2021-02-27,5039,如何格局波段之指数择时,,OK,
D0022,56.如何判断大盘暴跌的级别.pdf,.pdf,2020\2020周六专栏\一、模式研究\指数相关\56.如何判断大盘暴跌的级别.pdf,2021-03-20,9447,如何判断大盘暴跌的级别,,OK,
D0023,83.指数暴跌后的参与思路.pdf,.pdf,2020\2020周六专栏\一、模式研究\指数相关\83.指数暴跌后的参与思路.pdf,2021-08-07,6620,指数暴跌后的参与思路,,OK,
D0024,14.注册制后，创业板首板值得玩么？.pdf,.pdf,2020\2020周六专栏\一、模式研究\注册制创业板研究\14.注册制后，创业板首板值得玩么？.pdf,2020-09-19,6502,注册制后，创业板首板值得玩么？,,OK,
D0025,17.创业板大肉首板有哪些共性.pdf,.pdf,2020\2020周六专栏\一、模式研究\注册制创业板研究\17.创业板大肉首板有哪些共性.pdf,2020-09-26,5419,创业板大肉首板有哪些共性,,OK,
D0026,20.创业板一进二的关键点有哪些？.pdf,.pdf,2020\2020周六专栏\一、模式研究\注册制创业板研究\20.创业板一进二的关键点有哪些？.pdf,2020-10-17,6940,创业板一进二的关键点有哪些？,,OK,
D0027,23.关于创业板连板票次日低吸模式的深度研究.pdf,.pdf,2020\2020周六专栏\一、模式研究\注册制创业板研究\23.关于创业板连板票次日低吸模式的深度研究.pdf,2020-10-31,5540,关于创业板连板票次日低吸模式的深度研究,,OK,强势股模式
D0028,24.创业板票箱体玩法.pdf,.pdf,2020\2020周六专栏\一、模式研究\注册制创业板研究\24.创业板票箱体玩法.pdf,2020-10-31,2958,创业板票箱体玩法,,OK,
D0029,71.近期20cm赚钱效应怎么参与？.pdf,.pdf,2020\2020周六专栏\一、模式研究\注册制创业板研究\71.近期20cm赚钱效应怎么参与？.pdf,2021-06-05,4972,近期20cm赚钱效应怎么参与？,,OK,
D0030,78.谈谈近期的20cm低吸.pdf,.pdf,2020\2020周六专栏\一、模式研究\注册制创业板研究\78.谈谈近期的20cm低吸.pdf,2021-07-10,7182,谈谈近期的20cm低吸,,OK,强势股模式
D0031,32.20cm下趋势牛股短线该怎么买.pdf,.pdf,2020\2020周六专栏\一、模式研究\趋势股研究\32.20cm下趋势牛股短线该怎么买.pdf,2020-12-05,5878,20cm下趋势牛股短线该怎么买,,OK,强势股模式
D0032,35.如何做好趋势票高抛低吸.pdf,.pdf,2020\2020周六专栏\一、模式研究\趋势股研究\35.如何做好趋势票高抛低吸.pdf,2020-12-12,6022,如何做好趋势票高抛低吸,,OK,强势股模式
D0033,36.强趋势投机如何回避潜在巨亏.pdf,.pdf,2020\2020周六专栏\一、模式研究\趋势股研究\36.强趋势投机如何回避潜在巨亏.pdf,2020-12-19,4676,强趋势投机如何回避潜在巨亏,,OK,强势股模式
D0034,38.如何系统地找到趋势票.pdf,.pdf,2020\2020周六专栏\一、模式研究\趋势股研究\38.如何系统地找到趋势票.pdf,2020-12-26,7306,如何系统地找到趋势票,,OK,强势股模式
D0035,39.如何有效率地参与长趋势票.pdf,.pdf,2020\2020周六专栏\一、模式研究\趋势股研究\39.如何有效率地参与长趋势票.pdf,2021-01-01,5416,如何有效率地参与长趋势票,,OK,强势股模式
D0036,47.如何能格局一个小波段.pdf,.pdf,2020\2020周六专栏\一、模式研究\趋势股研究\47.如何能格局一个小波段.pdf,2021-01-30,6876,如何能格局一个小波段,,OK,强势股模式
D0037,54.谈谈如何选趋势中军票.pdf,.pdf,2020\2020周六专栏\一、模式研究\趋势股研究\54.谈谈如何选趋势中军票.pdf,2021-03-13,4689,谈谈如何选趋势中军票,,OK,强势股模式
D0038,64.如何在长逻辑波段票中做短线.pdf,.pdf,2020\2020周六专栏\一、模式研究\趋势股研究\64.如何在长逻辑波段票中做短线.pdf,2021-05-01,5635,如何在长逻辑波段票中做短线,,OK,强势股模式
D0039,70.一个在初期发现潜在主流板块的思路.pdf,.pdf,2020\2020周六专栏\一、模式研究\趋势股研究\70.一个在初期发现潜在主流板块的思路.pdf,2021-06-05,6447,一个在初期发现潜在主流板块的思路,,OK,强势股模式
D0040,77.长逻辑趋势票具体要怎么低吸？.pdf,.pdf,2020\2020周六专栏\一、模式研究\趋势股研究\77.长逻辑趋势票具体要怎么低吸？.pdf,2021-07-03,4585,长逻辑趋势票具体要怎么低吸？,,OK,强势股模式
D0041,82.如何赚一个小波段的钱.pdf,.pdf,2020\2020周六专栏\一、模式研究\趋势股研究\82.如何赚一个小波段的钱.pdf,2021-07-31,9299,如何赚一个小波段的钱,,OK,强势股模式
D0042,30.如何找到高质量的共振板块.pdf,.pdf,2020\2020周六专栏\三、题材节奏\30.如何找到高质量的共振板块.pdf,2020-11-21,5342,如何找到高质量的共振板块,,OK,情绪周期|启动标准
D0043,40.板块高潮前的最佳介入时间.pdf,.pdf,2020\2020周六专栏\三、题材节奏\40.板块高潮前的最佳介入时间.pdf,2021-01-01,5025,板块高潮前的最佳介入时间,,OK,情绪周期
D0044,41.轮动行情中，板块启动前的信号.pdf,.pdf,2020\2020周六专栏\三、题材节奏\41.轮动行情中，板块启动前的信号.pdf,2021-01-09,5940,轮动行情中，板块启动前的信号,,OK,情绪周期|启动标准
D0045,44.题材高低切，轮动题材如何选？.pdf,.pdf,2020\2020周六专栏\三、题材节奏\44.题材高低切，轮动题材如何选？.pdf,2021-01-16,3321,题材高低切，轮动题材如何选？,,OK,情绪周期
D0046,45.板块调整期，活口票怎么玩？.pdf,.pdf,2020\2020周六专栏\三、题材节奏\45.板块调整期，活口票怎么玩？.pdf,2021-01-23,7392,板块调整期，活口票怎么玩？,,OK,情绪周期
D0047,60.如何把握龙头切换机会.pdf,.pdf,2020\2020周六专栏\三、题材节奏\60.如何把握龙头切换机会.pdf,2021-04-10,5854,如何把握龙头切换机会,,OK,情绪周期|强势股模式
D0048,62.如何玩题材高低切.pdf,.pdf,2020\2020周六专栏\三、题材节奏\62.如何玩题材高低切.pdf,2021-04-17,8323,如何玩题材高低切,,OK,情绪周期
D0049,66.题材低维轮动，怎么玩更好？.pdf,.pdf,2020\2020周六专栏\三、题材节奏\66.题材低维轮动，怎么玩更好？.pdf,2021-05-15,8273,题材低维轮动，怎么玩更好？,,OK,情绪周期
D0050,72.如何做板块内的高低切.pdf,.pdf,2020\2020周六专栏\三、题材节奏\72.如何做板块内的高低切.pdf,2021-06-12,8480,如何做板块内的高低切,,OK,情绪周期
D0051,73.题材高潮后分歧，会如何走，该怎么做？.pdf,.pdf,2020\2020周六专栏\三、题材节奏\73.题材高潮后分歧，会如何走，该怎么做？.pdf,2021-06-19,4558,题材高潮后分歧，会如何走，该怎么做？,,OK,情绪周期
D0052,19.复盘中报业绩炒作中的几类机会.pdf,.pdf,2020\2020周六专栏\二、基本面投机\业绩模式\19.复盘中报业绩炒作中的几类机会.pdf,2020-10-10,5199,复盘中报业绩炒作中的几类机会,,OK,
D0053,10.新股定价博弈之3种主流模式介绍.pdf,.pdf,2020\2020周六专栏\二、基本面投机\新股研究\10.新股定价博弈之3种主流模式介绍.pdf,2020-09-05,8280,新股定价博弈之3种主流模式介绍,,OK,
D0054,11.新股定价博弈之如何给新股算估值.pdf,.pdf,2020\2020周六专栏\二、基本面投机\新股研究\11.新股定价博弈之如何给新股算估值.pdf,2020-09-05,10369,新股定价博弈之如何给新股算估值,,OK,
D0055,12.新股定价博弈之最新的几个例子串讲.pdf,.pdf,2020\2020周六专栏\二、基本面投机\新股研究\12.新股定价博弈之最新的几个例子串讲.pdf,2020-09-12,7093,新股定价博弈之最新的几个例子串讲,,OK,
D0056,43.如何狙击新股第六天的大阳线.pdf,.pdf,2020\2020周六专栏\二、基本面投机\新股研究\43.如何狙击新股第六天的大阳线.pdf,2021-01-16,3678,如何狙击新股第六天的大阳线,,OK,
D0057,55.如何判断新股情绪周期低点？.pdf,.pdf,2020\2020周六专栏\二、基本面投机\新股研究\55.如何判断新股情绪周期低点？.pdf,2021-03-13,4185,如何判断新股情绪周期低点？,,OK,情绪周期
D0058,61.新股博弈之估值修复行情.pdf,.pdf,2020\2020周六专栏\二、基本面投机\新股研究\61.新股博弈之估值修复行情.pdf,2021-04-10,4618,新股博弈之估值修复行情,,OK,
D0059,74.带热点题材的新股如何参与？.pdf,.pdf,2020\2020周六专栏\二、基本面投机\新股研究\74.带热点题材的新股如何参与？.pdf,2021-06-19,4710,带热点题材的新股如何参与？,,OK,
D0060,新股定价博弈之高景气龙头的进阶估值方法.pdf,.pdf,2020\2020周六专栏\二、基本面投机\新股研究\新股定价博弈之高景气龙头的进阶估值方法.pdf,2020-11-28,7561,新股定价博弈之高景气龙头的进阶估值方法,,OK,强势股模式
D0061,02.如何判断一只股票有机构买入.pdf,.pdf,2020\2020周六专栏\二、基本面投机\机构系列\02.如何判断一只股票有机构买入.pdf,2020-08-08,7717,如何判断一只股票有机构买入,,OK,
D0062,05.如何算出一只票会出机构榜.pdf,.pdf,2020\2020周六专栏\二、基本面投机\机构系列\05.如何算出一只票会出机构榜.pdf,2020-08-15,4886,如何算出一只票会出机构榜,,OK,
D0063,09.关于机构玩法买点的后续思考.pdf,.pdf,2020\2020周六专栏\二、基本面投机\机构系列\09.关于机构玩法买点的后续思考.pdf,2020-08-29,5869,关于机构玩法买点的后续思考,,OK,
D0064,22.最近正在流行的机构玩法.pdf,.pdf,2020\2020周六专栏\二、基本面投机\机构系列\22.最近正在流行的机构玩法.pdf,2020-10-24,4107,最近正在流行的机构玩法,,OK,
D0065,03.玩计算器票的基本框架.pdf,.pdf,2020\2020周六专栏\二、基本面投机\趋势板块研究\03.玩计算器票的基本框架.pdf,2020-08-15,15258,玩计算器票的基本框架,,OK,强势股模式
D0066,06.大行情的中途调整和结束应该如何区分.pdf,.pdf,2020\2020周六专栏\二、基本面投机\趋势板块研究\06.大行情的中途调整和结束应该如何区分.pdf,2020-08-22,7526,大行情的中途调整和结束应该如何区分,,OK,强势股模式
D0067,15.主流板块独立新逻辑怎么玩.pdf,.pdf,2020\2020周六专栏\二、基本面投机\趋势板块研究\15.主流板块独立新逻辑怎么玩.pdf,2020-09-19,7903,主流板块独立新逻辑怎么玩,,OK,强势股模式
